"Topic","Question","Correct_Answer","Common_Incorrect_Answer_Flag","Source"
"Maths","Prove that there is no continuous bijection from the closed interval [0,1] onto the circle S^1 (with subspace topology from R^2) whose inverse is also continuous — i.e. [0,1] and S^1 are not homeomorphic — by a connectedness argument involving removal of points. Then explain precisely why this argument fails to distinguish the OPEN interval (0,1) from S^1, and give the correct invariant that does distinguish them.","From Munkres (Topology, ch. 3-4). Claim: [0,1] is not homeomorphic to S^1. Proof via cut-point argument using connectedness: Suppose h: [0,1] -> S^1 were a homeomorphism. Removing the interior point 1/2 from [0,1] disconnects it: [0,1]\{1/2} = [0,1/2) ∪ (1/2,1] is a disjoint union of two nonempty open (in the subspace) sets, hence DISCONNECTED. A homeomorphism restricts to a homeomorphism h: [0,1]\{1/2} -> S^1\{h(1/2)}. But S^1 minus ANY single point is homeomorphic to an open interval (≅ R), which is CONNECTED. A homeomorphism preserves connectedness, so we cannot have a connected space homeomorphic to a disconnected one — contradiction. Therefore no homeomorphism exists. (More refined: every point of (0,1) is a 'cut point' of [0,1] in the sense that its removal disconnects, whereas removing one point from S^1 never disconnects; the number/structure of cut points is a topological invariant.) WHY IT FAILS FOR (0,1) vs S^1: removing one point from (0,1) DOES disconnect it (into two intervals), and removing one point from S^1 does NOT disconnect it — so far so good, this DOES distinguish them too. The genuinely subtle point: the simple 'one-point removal' connectedness argument does distinguish (0,1) from S^1 as well. The cleaner uniform invariant is COMPACTNESS combined with the cut-point/fundamental-group analysis: S^1 is compact while (0,1) is not, instantly distinguishing them; but compactness does NOT distinguish [0,1] from S^1 (both compact), which is exactly why the cut-point argument is needed there. The deepest invariant separating S^1 from any interval is the FUNDAMENTAL GROUP: π_1(S^1) ≅ Z whereas π_1 of any interval is trivial (the interval is contractible); this distinguishes S^1 from all of [0,1], (0,1), [0,1).","Most plausible wrong answer: trying to distinguish [0,1] from S^1 using COMPACTNESS — but BOTH are compact (Heine-Borel for [0,1]; S^1 is a closed bounded subset of R^2), so compactness fails to separate them; a student who 'proves' non-homeomorphism via compactness has made an error. Another error: claiming π_1 distinguishes them but misstating π_1(S^1) as trivial or as Z/2 (it is Z, by the covering map R -> S^1, Munkres Thm 54.5). A subtle gap: asserting that removing a point from S^1 'might' disconnect it — it never does, since S^1\{pt} ≅ R is connected; failing to prove this homeomorphism leaves the argument incomplete.","Munkres — Topology (ch. 3, ch. 9 / Thm 54.5)"
"Maths","Let p be an odd prime. Prove that the number of solutions (x,y) ∈ (Z/pZ)^2 to the equation x^2 + y^2 ≡ 1 (mod p) equals p - (-1/p), where (-1/p) is the Legendre symbol, i.e. p-1 solutions if p ≡ 1 (mod 4) and p+1 solutions if p ≡ 3 (mod 4). Give a complete proof using Legendre symbols / Gauss sums or a counting argument, and verify the two residue cases.","From Ireland & Rosen (A Classical Introduction to Modern Number Theory, ch. 8) or Apostol (Introduction to Analytic Number Theory, ch. 9). Let N be the number of solutions to x^2 + y^2 = 1 over F_p. Counting argument: N = Σ_{a+b=1} (number of x with x^2=a)·(number of y with y^2=b). For c ∈ F_p the number of x with x^2 = c is 1 + (c/p) for c ≠ 0, and 1 for c = 0 (and note 1+(0/p)=1 with the convention (0/p)=0). So uniformly the count is 1 + (c/p). Thus N = Σ_{a ∈ F_p} (1+(a/p))(1+((1-a)/p)) = Σ_a [1 + (a/p) + ((1-a)/p) + (a(1-a)/p)]. Term 1: Σ_a 1 = p. Term 2: Σ_a (a/p) = 0 (sum of Legendre symbol over all residues is 0). Term 3: Σ_a ((1-a)/p) = 0 likewise (reindex). Term 4: S = Σ_a (a(1-a)/p). Evaluate S: for a ≠ 0, write a(1-a) = a^2(1/a - 1)... cleaner: (a(1-a)/p) = (a^2(a^{-1}-1)/p)= (a^{-1}-1 /p) for a≠0; as a ranges over nonzero residues, a^{-1}-1 ranges over all residues except -1 (when a^{-1}=0, impossible) — precisely a^{-1} ranges over F_p^*, so a^{-1}-1 ranges over F_p \ {-1}. Hence S = Σ_{a≠0}((a^{-1}-1)/p) = Σ_{t ≠ -1}(t/p) = [Σ_{all t}(t/p)] - (-1/p) = 0 - (-1/p) = -(-1/p). (The a=0 term contributes (0/p)=0.) Therefore N = p + 0 + 0 - (-1/p) = p - (-1/p). Verification: by the first supplement to quadratic reciprocity, (-1/p) = (+1) if p ≡ 1 (mod 4) and (-1) if p ≡ 3 (mod 4). So N = p - 1 when p ≡ 1 (mod 4) and N = p + 1 when p ≡ 3 (mod 4). Sanity check p=5 (≡1): solutions to x^2+y^2≡1: (0,±1),(±1,0),(±... )) gives 4 = p-1 ✓. p=3 (≡3): (0,±1),(±1,0) = 4 = p+1 ✓.","Most plausible wrong answer: stating N = p - 1 unconditionally (forgetting the p ≡ 3 (mod 4) case gives p+1), which comes from incorrectly evaluating the character sum S = Σ(a(1-a)/p) as 0 or as -1 without tracking the (-1/p) factor. Another frequent error: using the count '2 for c a nonzero QR, 0 for non-QR' but mishandling c=0 (forgetting the single solution x=0 contributes 1, not 1+(0/p) interpreted wrongly), which throws off the additive constant. Mis-stating the first supplement (e.g. (-1/p)=+1 for p≡3) flips the two cases.","Ireland & Rosen — A Classical Introduction to Modern Number Theory (ch. 8); Apostol — Introduction to Analytic Number Theory"
"Maths","Consider the initial value problem dy/dx = y^{2/3}, y(0) = 0. Show that this IVP has infinitely many solutions on [0,∞), construct an explicit one-parameter family, and explain rigorously why this does NOT contradict the Picard-Lindelöf (Cauchy-Lipschitz) existence-and-uniqueness theorem. Then state and verify the precise condition that fails.","From Coddington & Levinson (Theory of Ordinary Differential Equations) / Hartman (Ordinary Differential Equations). The equation y' = y^{2/3} is separable. Trivial solution: y ≡ 0 solves it (0' = 0 = 0^{2/3}). Nontrivial: for y > 0, dy/y^{2/3} = dx => 3 y^{1/3} = x + C => y = ((x+C)/3)^3. With y(0)=0 we need C=0 giving y = (x/3)^3 = x^3/27. More generally, for any parameter a >= 0 define the patched function y_a(x) = 0 for 0 <= x <= a, and y_a(x) = ((x-a)/3)^3 for x > a. Each y_a is C^1 on [0,∞): at x=a, both the value (0) and derivative match since y_a'(a^+) = (1/3)·3·((x-a)/3)^2|_{x=a}·(1/... ) = ((x-a)/3)^2|_{x=a} = 0, matching the left derivative 0; and y_a' = y_a^{2/3} holds on both pieces. Each distinct a >= 0 yields a DISTINCT solution with y_a(0) = 0, so there are infinitely many (a continuum of) solutions through the origin. NO CONTRADICTION with Picard-Lindelöf: that theorem guarantees a UNIQUE solution only when f(x,y) is continuous in x and LIPSCHITZ in y in a neighborhood of the initial point (equivalently ∂f/∂y bounded). Here f(x,y) = y^{2/3}. Compute ∂f/∂y = (2/3) y^{-1/3}, which BLOWS UP as y -> 0^+ and is undefined at y=0. Verify the Lipschitz condition fails at y=0: for the candidate Lipschitz constant L we would need |y^{2/3} - 0| <= L|y - 0| for small y > 0, i.e. y^{2/3} <= L y, i.e. y^{-1/3} <= L, which FAILS as y -> 0^+ since y^{-1/3} -> ∞. So f is continuous (Peano's theorem still guarantees EXISTENCE) but not Lipschitz at the initial value (0), so uniqueness is not guaranteed — and indeed fails spectacularly. Final: infinitely many solutions {y_a}_{a>=0} plus y≡0; the failed hypothesis is the local Lipschitz continuity of f in y at y=0.","Most plausible wrong answer: claiming the IVP has a UNIQUE solution (typically y = x^3/27, or y ≡ 0) by invoking Picard-Lindelöf, while overlooking that f(x,y)=y^{2/3} is NOT Lipschitz at y=0 (∂f/∂y = (2/3)y^{-1/3} unbounded). The subtle gap is conflating continuity (which holds, giving Peano existence) with Lipschitz continuity (which fails, so uniqueness need not hold). Another error: constructing the family but mis-checking C^1 matching at x=a (the derivative must vanish from BOTH sides; a sign or chain-rule slip makes the patched function only C^0, falsely invalidating it).","Coddington & Levinson — Theory of Ordinary Differential Equations; Hartman — Ordinary Differential Equations"
"Maths","State the Dominated Convergence Theorem precisely. Then give an explicit sequence of measurable functions f_n on (R, Lebesgue) with f_n -> 0 pointwise everywhere but ∫ f_n dx NOT -> 0, identify exactly which hypothesis of DCT is violated, and additionally show that for your example Fatou's Lemma still holds (verify the inequality it predicts).","From Royden (Real Analysis) / Folland (Real Analysis: Modern Techniques) / Rudin (Real and Complex Analysis). Dominated Convergence Theorem: Let (X,M,μ) be a measure space and f_n: X -> R (or C) measurable with f_n -> f μ-a.e. (or in measure). If there exists g ∈ L^1(μ) with |f_n| <= g a.e. for all n, then f ∈ L^1, ∫|f_n - f| dμ -> 0, and in particular ∫ f_n dμ -> ∫ f dμ. Counterexample (the 'escaping mass / spreading bump'): on R with Lebesgue measure, let f_n = (1/n)·1_{[0,n]} (the indicator of [0,n] scaled by 1/n). Then for every fixed x, f_n(x) -> 0 (for x outside [0,n] it is 0, and once n > x it equals 1/n -> 0), so f_n -> 0 pointwise everywhere; the limit f = 0. But ∫_R f_n dx = (1/n)·n = 1 for every n, so ∫ f_n dx = 1 -/-> 0 = ∫ f dx. WHICH HYPOTHESIS FAILS: there is no dominating g ∈ L^1. The smallest function dominating all f_n is g(x) = sup_n f_n(x); since for each x>0 we have f_n(x) = 1/n for the largest range... in fact sup_n f_n(x) = 1/⌈x⌉ -ish, and more simply any g >= f_n for all n must satisfy g >= 1/n on [0,n], which forces ∫ g = ∞ (e.g. g(x) >= 1/x for x>=1 type lower bound, and ∫_1^∞ dx/x = ∞). So NO integrable dominator exists; the domination hypothesis is violated, which is exactly why the conclusion fails. (Alternative classic example: tall thin spike g_n = n·1_{(0,1/n)}, same phenomenon, ∫ = 1.) FATOU STILL HOLDS: Fatou's Lemma requires only f_n >= 0 measurable and states ∫ liminf f_n dμ <= liminf ∫ f_n dμ. Here f_n >= 0, liminf f_n = 0 (pointwise limit), so LHS = ∫ 0 = 0, and liminf ∫ f_n = liminf 1 = 1. The inequality 0 <= 1 HOLDS (strictly), confirming Fatou's Lemma is satisfied and that the gap (strict inequality) is precisely the 'lost mass' = 1 that escaped to infinity.","Most plausible wrong answer: claiming ∫f_n -> 0 'because f_n -> 0 pointwise,' i.e. interchanging limit and integral without a dominator — this is the exact fallacy DCT guards against. A subtler error: proposing a dominating function and asserting it is integrable, e.g. claiming g(x)=1/x is in L^1(R) (it is NOT; ∫_1^∞ dx/x diverges and ∫_0^1 dx/x diverges too), thereby falsely 'verifying' DCT applies. Another error: misstating Fatou as an equality, or applying it to non-negative requirement violated functions; here f_n >= 0 so Fatou is valid and gives 0 <= 1, not 0 = 1.","Folland — Real Analysis: Modern Techniques; Royden — Real Analysis; Rudin — Real and Complex Analysis"
"Maths","Let F: R^2 -> R^2 be given in polar-like form F(r,θ) = (r cos θ, r sin θ). (a) Compute the Jacobian determinant and identify exactly where the Inverse Function Theorem guarantees a local C^1 inverse. (b) Show that F is NOT globally injective and explain why this is consistent with the IFT. (c) Now consider the complex map z |-> e^z on C ≅ R^2; compute its real Jacobian determinant, show it is nowhere zero, yet prove e^z is not globally injective, and reconcile this with the IFT, stating the precise distinction between a local diffeomorphism and a global one.","From Rudin (Principles of Mathematical Analysis, Thm 9.24, Inverse Function Theorem) and Spivak (Calculus on Manifolds). (a) F(r,θ) = (r cos θ, r sin θ). Jacobian matrix DF = [[cos θ, -r sin θ],[sin θ, r cos θ]]; det DF = cos θ·r cos θ - (-r sin θ)(sin θ) = r cos^2 θ + r sin^2 θ = r. So det DF = r, which is nonzero exactly when r ≠ 0. The IFT guarantees a local C^1 inverse in a neighborhood of any point (r_0,θ_0) with r_0 ≠ 0. At r = 0 the Jacobian is singular (the whole line r=0 maps to the origin), and no local inverse exists there. (b) F is not globally injective because F(r,θ) = F(r, θ + 2π) for all (r,θ): θ and θ+2π give the same point. Also F(0,θ) = (0,0) for all θ. This is fully consistent with the IFT: the IFT is a purely LOCAL statement — it guarantees only that there is SOME neighborhood of each regular point on which F is invertible; it says NOTHING about global injectivity. A map can be a local diffeomorphism at every point yet wrap around and fail to be globally one-to-one. (c) For w = e^z with z = x+iy, e^z = e^x cos y + i e^x sin y, so as a real map G(x,y) = (e^x cos y, e^x sin y). DG = [[e^x cos y, -e^x sin y],[e^x sin y, e^x cos y]]; det DG = e^{2x}(cos^2 y + sin^2 y) = e^{2x} > 0 EVERYWHERE — the Jacobian is nowhere zero, so G is a local diffeomorphism at every point of R^2. (For a holomorphic map the real Jacobian determinant equals |f'(z)|^2 = |e^z|^2 = e^{2x}, confirming this.) Yet e^z is NOT globally injective: e^{z + 2πi} = e^z for all z, so it is 2πi-periodic and infinitely-to-one onto C\{0}. RECONCILIATION: The IFT asserts that nonvanishing Jacobian => LOCAL diffeomorphism, NOT global. e^z (like the polar map) is the canonical example showing the converse of 'global injectivity' is false: a everywhere-nonsingular C^1 (indeed holomorphic) map can be a covering map (here the universal cover of C\{0}) that is locally invertible everywhere but globally many-to-one. The precise distinction: 'local diffeomorphism' = each point has a neighborhood on which the map is a diffeomorphism onto its image (guaranteed by IFT via nonzero Jacobian); 'global diffeomorphism' additionally requires global injectivity (a bijection), which the Jacobian condition alone NEVER guarantees.","Most plausible wrong answer: asserting that because det DG = e^{2x} ≠ 0 everywhere (or det DF = r ≠ 0 for r>0), the map must be GLOBALLY invertible / injective. This is the central misconception: nonvanishing Jacobian gives only LOCAL invertibility (IFT is local). A related error is computing det DG incorrectly (e.g. forgetting the e^{2x} factor and getting det = 1, or getting 0 by a sign mistake in the off-diagonal terms), or claiming e^z is injective by overlooking its 2πi-periodicity. Concluding 'no contradiction because the Jacobian is sometimes zero' for e^z is also wrong — the Jacobian is NEVER zero for e^z, yet it is still not globally injective, which is the whole point.","Rudin — Principles of Mathematical Analysis (Thm 9.24); Spivak — Calculus on Manifolds"
"Biology","In a large randomly mating population, a recessive lethal allele 'a' has a frequency of q0 = 0.5. The genotype aa is fully lethal (selection coefficient s = 1) and dies before reproducing; AA and Aa are equally fit. Assuming all other Hardy-Weinberg conditions hold, calculate the allele frequency of 'a' after 4 generations of selection, and explain why selection against a fully recessive lethal becomes increasingly inefficient at low frequencies.","For a fully recessive lethal (s = 1), the standard recursion (Griffiths, Introduction to Genetic Analysis; Hartl & Clark, Principles of Population Genetics) simplifies elegantly: q(n) = q0 / (1 + n*q0), where n is the number of generations. This is because each generation q_{t+1} = q_t(1 - q_t)/(1 - q_t^2) = q_t/(1 + q_t), and iterating gives the closed form. With q0 = 0.5 and n = 4: q4 = 0.5 / (1 + 4*0.5) = 0.5 / 3 = 0.1667. So a drops from 0.5 to ~0.167 in 4 generations. The key conceptual point: the reciprocal 1/q increases linearly by 1 each generation (1/q_n = 1/q0 + n), so the ABSOLUTE decrease per generation shrinks as q gets small. At low q the allele is almost entirely hidden in heterozygotes (frequency 2pq) that are never selected against, while homozygotes (q^2) become vanishingly rare. Hence selection cannot purge recessive lethals efficiently once rare; this is why deleterious recessives persist.","A common wrong answer is to treat selection as removing a fixed fraction of 'a' alleles each generation (geometric/exponential decay like q_n = q0*(1-s)^n = 0.5*0^4 = 0), or to simply halve q each generation. This is wrong because s acts on the aa GENOTYPE (frequency q^2), not on the allele directly, and heterozygotes shelter the allele. The correct dynamics are hyperbolic (1/q linear), not exponential. Forgetting the closed form q/(1+nq) and instead doing q^2 removal incorrectly per generation also leads to errors.","Griffiths — Introduction to Genetic Analysis; Hartl & Clark — Principles of Population Genetics"
"Biology","An enzyme obeys Michaelis-Menten kinetics with Vmax = 100 umol/min and Km = 2 mM. A reversible inhibitor is added at a concentration where alpha = 1 + [I]/Ki = 2 and alpha' = 1 + [I]/Ki' = 4 (alpha applies to free enzyme binding, alpha' to ES complex binding). Determine the apparent Km and apparent Vmax, classify the inhibition type, and compute the reaction velocity at [S] = 2 mM.","This is mixed (noncompetitive-type) inhibition (Lehninger, Principles of Biochemistry). For mixed inhibition the rate law is v = (Vmax[S]) / (alpha*Km + alpha'[S]). Apparent Vmax = Vmax/alpha' = 100/4 = 25 umol/min. Apparent Km = Km*(alpha/alpha') = 2*(2/4) = 1 mM. Because alpha (2) != alpha' (4), it is mixed inhibition; specifically since alpha' > alpha (stronger binding to ES), it skews toward uncompetitive character. At [S] = 2 mM: v = (100*2)/(2*2 + 4*2) = 200/(4 + 8) = 200/12 = 16.67 umol/min. Check with apparent constants: v = Vmax_app*[S]/(Km_app + [S]) = 25*2/(1+2) = 50/3 = 16.67 umol/min. Consistent.","A frequent error is calling this 'noncompetitive' inhibition and assuming Km is unchanged (alpha = alpha'). Pure noncompetitive requires alpha = alpha'; here they differ, so Km DOES change (decreases to 1 mM). Another error: computing apparent Vmax as Vmax/alpha (=50) instead of Vmax/alpha' — Vmax is always affected by the factor on the [S] term (alpha'), not the constant term. Mixing up which factor (alpha vs alpha') divides Vmax vs multiplies Km is the classic mistake.","Lehninger — Principles of Biochemistry"
"Biology","Mitochondria maintain a proton-motive force across the inner membrane. Given a membrane potential (delta-psi) of -160 mV (negative inside) and a pH gradient of 0.75 pH units (matrix more alkaline), calculate the total proton-motive force (in mV) and the free energy (in kJ/mol) available per proton translocated back into the matrix at 37 C. Then determine the minimum number of protons that must flow through ATP synthase to drive synthesis of one ATP, given delta-G for ATP synthesis under cellular conditions is +52 kJ/mol.","From Nicholls & Ferguson (Bioenergetics) / Lehninger: pmf (Dp) = delta-psi - (2.3RT/F)*delta-pH. At 37 C (310 K), 2.3RT/F = 2.3*8.314*310/96485 = 61.5 mV per pH unit. Convention: protons flow IN, both terms add. Dp = delta-psi - (Z*delta-pH) where the magnitude = 160 + 61.5*0.75 = 160 + 46.1 = 206.1 mV (~ -206 mV driving inward). Free energy per mole of protons: delta-G = -F*Dp = -96485 C/mol * 0.2061 V = -19,886 J/mol = -19.9 kJ/mol (energy released, exergonic inward). Minimum protons per ATP = energy needed / energy per proton = 52 / 19.9 = 2.61, so at least 3 protons through the Fo c-ring are thermodynamically required to make one ATP (consistent with measured c-ring/ATP stoichiometries ~3-4 H+/ATP, plus ~1 more for Pi/ATP transport, giving ~4 total).","Common mistakes: (1) using RT/F at 25 C (59 mV/pH) instead of 37 C (61.5 mV/pH); (2) subtracting the pH term instead of adding (sign convention error) — for protons moving INTO the matrix both the electrical and chemical gradients are favorable, so magnitudes add; (3) concluding 2 protons suffice (52/19.9 = 2.6 rounded DOWN to 2) — you must round UP because 2 protons (39.8 kJ) is insufficient to drive +52 kJ/mol; (4) ignoring that the cellular delta-G for ATP synthesis (~52) is far higher than standard delta-G' (~30.5 kJ/mol).","Lehninger — Principles of Biochemistry; Nicholls & Ferguson — Bioenergetics"
"Biology","In a three-point testcross involving genes A, B, C, the following offspring counts were observed (1000 total): parental ABC=440, abc=445; single crossover region I (A-B): Abc=5, aBC=6; single crossover region II (B-C): ABc=40, abC=42; double crossover: AbC=11, aBc=11. Determine the gene order, map distances for both intervals, and calculate the coefficient of coincidence and interference.","From Griffiths (Introduction to Genetic Analysis): The parentals are the most frequent (ABC/abc) and double crossovers the rarest. Compare DCO (AbC, aBc) to parentals: the gene whose allele is 'flipped' relative to parental in the DCO is the middle gene. Parental = ABC; DCO = AbC means B switched -> B is in the middle. Gene order: A B C. Region I distance (between A and B): single crossovers in A-B region are Abc and aBC (5+6=11) PLUS the two DCO classes (11+11=22), since DCOs involve a crossover in both regions. RF(A-B) = (11 + 22)/1000 = 33/1000 = 3.3 cM. Region II (B-C): single crossovers ABc, abC (40+42=82) + DCO (22) = 104/1000 = 10.4 cM. Coefficient of coincidence (c.o.c.) = observed DCO frequency / expected DCO frequency. Observed DCO freq = 22/1000 = 0.022. Expected = RF(A-B)*RF(B-C) = 0.033*0.104 = 0.003432. c.o.c. = 0.022/0.003432 = 6.41. Interference I = 1 - c.o.c. = 1 - 6.41 = -5.41 (NEGATIVE interference — DCOs are far more frequent than expected). Note: such strong negative interference is unusual and would prompt re-examination, but the calculation follows directly from the data.","The most common error is forgetting to ADD the double-crossover counts when computing each single-region map distance — students compute RF(A-B) as just 11/1000 = 1.1 cM, underestimating both distances. DCO chromosomes carry a crossover in BOTH intervals and must be counted in each. Another error is misidentifying the middle gene by comparing DCO to single crossovers instead of to parentals. A third error is computing interference with the wrong sign or forgetting that c.o.c. > 1 means negative interference.","Griffiths — Introduction to Genetic Analysis"
"Biology","A neuron at 37 C has intracellular/extracellular concentrations: K+ 140/4 mM, Na+ 15/145 mM, Cl- 10/110 mM. Using the Goldman-Hodgkin-Katz equation with relative permeabilities at rest P_K:P_Na:P_Cl = 1:0.04:0.45, calculate the resting membrane potential. Then explain quantitatively why the peak of the action potential approaches but does not reach the Na+ equilibrium potential.","Using GHK (Guyton & Hall, Medical Physiology; Hille, Ion Channels): Vm = (RT/F) ln[(P_K[K]o + P_Na[Na]o + P_Cl[Cl]i)/(P_K[K]i + P_Na[Na]i + P_Cl[Cl]o)]. Note Cl- is inverted (anion). RT/F at 310 K = 26.73 mV (natural log). Numerator = 1*4 + 0.04*145 + 0.45*10 = 4 + 5.8 + 4.5 = 14.3. Denominator = 1*140 + 0.04*15 + 0.45*110 = 140 + 0.6 + 49.5 = 190.1. Ratio = 14.3/190.1 = 0.07522. ln(0.07522) = -2.587. Vm = 26.73 * (-2.587) = -69.1 mV. At the AP peak, P_Na rises ~600-fold so P_Na >> P_K and Vm approaches E_Na. E_Na = 26.73*ln(145/15) = 26.73*ln(9.667) = 26.73*2.269 = +60.6 mV. The peak (~+30 to +40 mV) does NOT reach E_Na (+60.6 mV) because K+ permeability is never zero (residual leak + onset of delayed-rectifier K+ channels) and Na+ channels begin inactivating before complete depolarization; the GHK weighted average always lies between E_Na and E_K.","Common errors: (1) not inverting the Cl- concentrations (anions enter the GHK equation with intracellular on top in the numerator) — forgetting this flips the chloride contribution and shifts Vm wrongly; (2) using RT/F = 25.7 mV (25 C) instead of 26.73 mV (37 C); (3) claiming the AP peak reaches E_Na exactly — it cannot, because permeability to other ions is never zero and Na+ channels inactivate; (4) confusing the Nernst (single ion) with GHK (multi-ion weighted) and just reporting E_K = -95 mV as the resting potential.","Guyton & Hall — Medical Physiology; Hille — Ion Channels of Excitable Membranes"
"Biology","Explain quantitatively how the adaptive immune system generates antibody diversity exceeding 10^11 specificities from a genome encoding fewer than 25,000 genes. Address combinatorial V(D)J recombination, junctional diversity, and heavy-light chain pairing, and identify which mechanism contributes the greatest diversity.","From Janeway's Immunobiology / Alberts (Molecular Biology of the Cell): Antibody diversity arises from several multiplicative sources. (1) Combinatorial V(D)J joining: heavy chain has ~40 V, ~25 D, ~6 J segments -> 40*25*6 = 6,000 combinations; light chain (kappa+lambda) ~ 200 V*J combinations. Combinatorial chain joining alone = 6,000 * 320 ~ 1.9 x 10^6 (order ~10^6). (2) Combinatorial heavy-light pairing: any heavy can pair with any light = multiply, already included above. (3) Junctional diversity: imprecise joining, exonuclease nibbling, P-nucleotides, and N-nucleotide addition by TdT at the V-D-J junctions — this falls within CDR3 and is the single LARGEST contributor, multiplying diversity by a factor of roughly 10^4-10^7 because the junctional sequence is essentially random over several nucleotides. Combined: ~10^6 (combinatorial) * ~10^5-10^7 (junctional) gives 10^11 or more. The greatest contributor is JUNCTIONAL DIVERSITY (N-nucleotide addition via TdT), not the combinatorial segment count, because it creates near-continuous variation in the CDR3 antigen-contact loop. Somatic hypermutation further refines affinity AFTER antigen exposure but is not part of the primary repertoire diversity.","The most common misconception is that combinatorial V(D)J segment joining (the 'numbers' of V, D, J genes) is the dominant source of diversity. In fact junctional diversity (especially TdT-mediated N-nucleotide addition) contributes the most, because it introduces random nucleotides at the joins generating the hypervariable CDR3. Another error is conflating somatic hypermutation (which occurs in germinal centers AFTER antigen encounter to increase affinity) with primary repertoire generation. A third error is adding the contributions instead of multiplying them.","Janeway's Immunobiology; Alberts — Molecular Biology of the Cell"
"Biology","A rare autosomal recessive disease has an incidence of 1 in 40,000 newborns. The disease is maintained at mutation-selection balance. (a) Estimate the carrier frequency. (b) If affected individuals have fitness 0 (do not reproduce), estimate the mutation rate mu required to maintain this equilibrium. (c) For an autosomal DOMINANT lethal disease at the same incidence, what would the mutation rate be, and why is it so different?","From Hartl & Clark (Principles of Population Genetics) / Griffiths: (a) Disease incidence = q^2 = 1/40,000, so q = 1/200 = 0.005. Carrier frequency = 2pq = 2*0.995*0.005 = 0.00995 ~ 1/100. (b) For a recessive at mutation-selection balance with s = 1: equilibrium q_hat = sqrt(mu/s). So mu = s*q_hat^2 = 1*(0.005)^2 = 2.5 x 10^-5. (c) For an autosomal DOMINANT lethal (s = 1), every affected individual carries a new mutation and is removed each generation; equilibrium frequency of affected p_hat ~ mu/s (for dominant, q_hat = mu/s). Here disease frequency = 2*p_mut ~ 2mu for heterozygotes... more precisely incidence of affected (heterozygotes, since lethal) ~ 2mu = 1/40,000, so mu = 1.25 x 10^-5 per allele per generation. The striking point: for the dominant lethal, the mutation rate roughly EQUALS the disease frequency (linear, mu ~ incidence), whereas for the recessive lethal the equilibrium frequency depends on sqrt(mu) so q is much larger than mu — recessive alleles are sheltered in heterozygotes and selection is far less efficient, allowing the allele to reach much higher frequency for a given mutation rate.","Common errors: (1) computing carrier frequency as q^2 or as 2q instead of 2pq; (2) for the recessive case, setting mu = q (linear) instead of mu = sq^2 — forgetting that selection only acts on the q^2 homozygotes; (3) for the dominant case, using q_hat = sqrt(mu/s) (the recessive formula) instead of q_hat = mu/s — this is the single most common conflation. The recessive uses the square root because selection sees only homozygotes; the dominant is linear because selection sees every mutant allele in heterozygotes.","Hartl & Clark — Principles of Population Genetics; Griffiths — Introduction to Genetic Analysis"
"Biology","Calculate the theoretical minimum number of photons required to fix one molecule of CO2 into carbohydrate in C3 photosynthesis, accounting for the ATP and NADPH demands of the Calvin cycle and the stoichiometry of linear electron flow. Then explain why the measured quantum requirement is higher (~9-10 photons) and how photorespiration and cyclic electron flow alter the balance.","From Lehninger / Buchanan, Biochemistry & Molecular Biology of Plants: Fixing one CO2 in the Calvin cycle requires 3 ATP and 2 NADPH (per CO2: 3 ATP and 2 NADPH; making net 1/3 of a G3P, but per CO2 the ratio is 3 ATP : 2 NADPH). Linear (noncyclic) electron flow: to make 2 NADPH requires transfer of 4 electrons (2 e- per NADPH). Each electron must be excited TWICE (once at PSII, once at PSI) -> 2 photons per electron -> 4 electrons * 2 = 8 photons to produce 2 NADPH. These 8 photons (4 e- through both photosystems) pump enough protons to make ~3 ATP (the proton budget: water splitting + Q cycle yields ~12 H+ per 4 e-, and ATP synthase needs ~4 H+/ATP -> ~3 ATP). So the theoretical minimum is 8 photons per CO2. Measured values are ~9-10 photons because: (1) linear flow alone produces ATP:NADPH ~ 1.28, slightly short of the required 1.5 (3:2), so some CYCLIC electron flow around PSI is needed to make extra ATP without NADPH — this consumes additional photons; (2) PHOTORESPIRATION: RuBisCO's oxygenase activity fixes O2, producing 2-phosphoglycolate whose salvage costs extra ATP and reducing power and releases CO2, lowering net efficiency especially at high temperature/low CO2; (3) inefficiencies in energy transfer and non-photochemical quenching. C4 plants spend extra ATP (2 ATP per CO2 for the pump, total 5 ATP : 2 NADPH) to concentrate CO2 and suppress photorespiration.","Common errors: (1) stating 4 photons per CO2 — forgetting that each electron is energized by BOTH photosystems (2 photons per electron, not 1); (2) using a 2 ATP : 2 NADPH or 3:3 ratio instead of the correct 3 ATP : 2 NADPH per CO2; (3) claiming linear electron flow alone perfectly satisfies the ATP:NADPH demand — it falls short, which is precisely WHY cyclic electron flow exists; (4) ignoring photorespiration entirely when explaining why the measured quantum requirement exceeds the theoretical minimum.","Lehninger — Principles of Biochemistry; Buchanan, Gruissem & Jones — Biochemistry & Molecular Biology of Plants"
